season,champion,runner_up,final_match_id,final_date,final_venue,final_city,player_of_match_final,winning_margin
2008,Rajasthan Royals,Chennai Super Kings,336040,2008-06-01,Dr Dy Patil Sports Academy,Mumbai,YK Pathan,3 Wickets
2009,Deccan Chargers,Royal Challengers Bengaluru,392239,2009-05-24,New Wanderers Stadium,Johannesburg,A Kumble,6 Runs
2010,Chennai Super Kings,Mumbai Indians,419165,2010-04-25,Dr Dy Patil Sports Academy,Mumbai,SK Raina,22 Runs
2011,Chennai Super Kings,Royal Challengers Bengaluru,501271,2011-05-28,"Ma Chidambaram Stadium, Chepauk",Chennai,M Vijay,58 Runs
2012,Kolkata Knight Riders,Chennai Super Kings,548381,2012-05-27,"Ma Chidambaram Stadium, Chepauk",Chennai,MS Bisla,5 Wickets
2013,Mumbai Indians,Chennai Super Kings,598073,2013-05-26,"Eden Gardens, Kolkata",Kolkata,KA Pollard,23 Runs
2014,Kolkata Knight Riders,Kings XI Punjab,734049,2014-06-01,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,MK Pandey,3 Wickets
2015,Mumbai Indians,Chennai Super Kings,829823,2015-05-24,"Eden Gardens, Kolkata",Kolkata,RG Sharma,41 Runs
2016,Sunrisers Hyderabad,Royal Challengers Bengaluru,981019,2016-05-29,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,BCJ Cutting,8 Runs
2017,Mumbai Indians,Rising Pune Supergiant,1082650,2017-05-21,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,KH Pandya,1 Runs
2018,Chennai Super Kings,Sunrisers Hyderabad,1136620,2018-05-27,"Wankhede Stadium, Mumbai",Mumbai,SR Watson,8 Wickets
2019,Mumbai Indians,Chennai Super Kings,1181768,2019-05-12,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,JJ Bumrah,1 Runs
2021,Chennai Super Kings,Kolkata Knight Riders,1254117,2021-10-15,Dubai International Cricket Stadium,Dubai,F du Plessis,27 Runs
2022,Gujarat Titans,Rajasthan Royals,1312200,2022-05-29,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,HH Pandya,7 Wickets
2023,Chennai Super Kings,Gujarat Titans,1370353,2023-05-29,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,DP Conway,5 Wickets
2024,Kolkata Knight Riders,Sunrisers Hyderabad,1426312,2024-05-26,"Ma Chidambaram Stadium, Chepauk, Chennai",Chennai,MA Starc,8 Wickets
2025,Royal Challengers Bengaluru,Punjab Kings,1473511,2025-06-03,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,KH Pandya,6 Runs
2026,Royal Challengers Bengaluru,Gujarat Titans,1535465,2026-05-31,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,V Kohli,5 Wickets
